Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Inter,38,28,7,3,89,35,54,91,Serie A,2020-2021
Milan,38,24,7,7,74,41,33,79,Serie A,2020-2021
Atalanta,38,23,9,6,90,47,43,78,Serie A,2020-2021
Juventus,38,23,9,6,77,38,39,78,Serie A,2020-2021
Napoli,38,24,5,9,86,41,45,77,Serie A,2020-2021
Lazio,38,21,5,12,61,55,6,68,Serie A,2020-2021
Roma,38,18,8,12,68,58,10,62,Serie A,2020-2021
Sassuolo,38,17,11,10,64,56,8,62,Serie A,2020-2021
Sampdoria,38,15,7,16,52,54,-2,52,Serie A,2020-2021
Hellas Verona,38,11,12,15,46,48,-2,45,Serie A,2020-2021
Genoa,38,10,12,16,47,58,-11,42,Serie A,2020-2021
Bologna,38,10,11,17,51,65,-14,41,Serie A,2020-2021
Fiorentina,38,9,13,16,47,59,-12,40,Serie A,2020-2021
Udinese,38,10,10,18,42,58,-16,40,Serie A,2020-2021
Spezia,38,9,12,17,52,72,-20,39,Serie A,2020-2021
Cagliari,38,9,10,19,43,59,-16,37,Serie A,2020-2021
Torino,38,7,16,15,50,69,-19,37,Serie A,2020-2021
Benevento,38,7,12,19,40,75,-35,33,Serie A,2020-2021
Crotone,38,6,5,27,45,92,-47,23,Serie A,2020-2021
Parma,38,3,11,24,39,83,-44,20,Serie A,2020-2021
